Mes;Ingreso;Costo Bienes;Utilidad Bruta;Gastos operativos;IVA Retenido;ISR Retenido;Utilidad Neta;ISR GENERADO;Utilidad Retirada
ene-25; $114.647,00 ; $106.100,00 ; $8.547,00 ; $59.420,00 ; $9.171,76 ; $1.146,47 ; $-61.191,23 ; $-21.416,93 ; $10.000,00 
feb-25; $128.579,00 ; $38.200,00 ; $90.379,00 ; $62.878,00 ; $10.286,32 ; $1.285,79 ; $15.928,89 ; $5.575,11 ; $9.000,00 
mar-25; $125.142,42 ; $42.750,00 ; $82.392,42 ; $56.631,00 ; $10.011,39 ; $1.251,42 ; $14.498,60 ; $5.074,51 ; $10.000,00 
abr-25; $117.645,00 ; $74.600,00 ; $43.045,00 ; $54.870,00 ; $9.411,60 ; $1.176,45 ; $-22.413,05 ; $-7.844,57 ; $8.000,00 
ene-24; $48.654,00 ; $56.700,00 ; $-8.046,00 ; $22.638,48 ; $3.892,32 ; $486,54 ; $-35.063,34 ; $-10.519,00 ;
feb-24; $63.036,93 ; $40.600,00 ; $22.436,93 ; $24.564,43 ; $5.042,95 ; $630,37 ; $-7.800,83 ; $-2.340,25 ;
mar-24; $72.645,68 ; $54.620,00 ; $18.025,68 ; $24.717,48 ; $5.811,65 ; $726,46 ; $-13.229,91 ; $-3.968,97 ;
abr-24; $90.873,92 ; $32.900,00 ; $57.973,92 ; $22.704,87 ; $7.269,91 ; $908,74 ; $27.090,40 ; $8.127,12 ;
may-24; $91.702,76 ; $29.320,00 ; $62.382,76 ; $21.604,33 ; $7.336,22 ; $917,03 ; $32.525,18 ; $9.757,55 ;
jun-24; $81.122,23 ; $65.450,00 ; $15.672,23 ; $19.734,67 ; $6.489,78 ; $811,22 ; $-11.363,44 ; $-3.409,03 ;
jul-24; $110.345,00 ; $67.900,00 ; $42.445,00 ; $23.541,40 ; $8.827,60 ; $1.103,45 ; $8.972,55 ; $2.691,77 ;
ago-24; $106.772,00 ; $26.020,00 ; $80.752,00 ; $34.862,64 ; $8.541,76 ; $1.067,72 ; $36.279,88 ; $10.883,96 ;
sep-24; $113.473,00 ; $39.400,00 ; $74.073,00 ; $25.776,76 ; $9.077,84 ; $1.134,73 ; $38.083,67 ; $11.425,10 ;
oct-24; $108.991,00 ; $36.325,00 ; $72.666,00 ; $22.878,92 ; $8.719,28 ; $1.089,91 ; $39.977,89 ; $11.993,37 ;
nov-24; $136.298,00 ; $34.470,00 ; $101.828,00 ; $25.205,76 ; $10.903,84 ; $1.362,98 ; $64.355,42 ; $19.306,63 ;
dic-24; $242.133,00 ; $40.070,00 ; $202.063,00 ; $37.555,96 ; $19.370,64 ; $2.421,33 ; $142.715,07 ; $42.814,52 ;
ene-23;$75.169,00; $33.190,00 ; $41.979,00 ; $23.433,80 ; $6.013,52 ; $751,69 ; $11.779,99 ; $3.534,00 ;
feb-23;$78.929,00;36850; $42.079,00 ;27595,8; $6.314,32 ; $789,29 ; $7.379,59 ; $2.213,88 ;
mar-23;$65.685,00;22026; $43.659,00 ;22257; $5.254,80 ; $656,85 ; $15.490,35 ; $4.647,11 ;
abr-23;$64.985,00;27660; $37.325,00 ;20177; $5.198,80 ; $649,85 ; $11.299,35 ; $3.389,81 ;
may-23;$89.597,00;37400; $52.197,00 ;27020,4; $7.167,76 ; $895,97 ; $17.112,87 ; $5.133,86 ;
jun-23;$88.535,00;37622; $50.913,00 ;28107; $7.082,80 ; $885,35 ; $14.837,85 ; $4.451,36 ;
jul-23;$100.575,00;44421; $56.154,00 ;27975; $8.046,00 ; $1.005,75 ; $19.127,25 ; $5.738,18 ;
ago-23;$71.940,00;43850; $28.090,00 ;22048; $5.755,20 ; $719,40 ; $-432,60 ; $-129,78 ;
sep-23;$68.476,00;30565; $37.911,00 ;20855,2; $5.478,08 ; $684,76 ; $10.892,96 ; $3.267,89 ;
oct-23;$82.144,72;30977; $51.167,72 ;23548,944; $6.571,58 ; $821,45 ; $20.225,75 ; $6.067,73 ;
nov-23;$63.193,00;27520; $35.673,00 ;19818,6; $5.055,44 ; $631,93 ; $10.167,03 ; $3.050,11 ;
dic-23;$74.022,00;28632; $45.390,00 ;22905,4; $5.921,76 ; $740,22 ; $15.822,62 ; $4.746,79 ;
